;gene_id;tr_id;cluster
139;FBgn0033987;FBtr0087411;2
140;FBgn0034013;FBtr0087382;2
141;FBgn0034158;FBtr0087031;4
142;FBgn0034504;FBtr0345355;4
143;FBgn0034602;FBtr0071583;2
144;FBgn0034606;FBtr0071622;1
145;FBgn0034644;FBtr0071662;3
146;FBgn0035157;FBtr0072606;1
147;FBgn0035236;FBtr0072746;7
148;FBgn0035397;FBtr0072993;4
149;FBgn0035397;FBtr0072998;17
150;FBgn0035432;FBtr0073058;1
151;FBgn0035625;FBtr0331806;1
152;FBgn0035656;FBtr0077070;5
153;FBgn0035656;FBtr0332041;5
154;FBgn0035954;FBtr0076521;1
155;FBgn0035956;FBtr0076547;1
156;FBgn0036007;FBtr0333864;1
157;FBgn0036007;FBtr0333865;5
158;FBgn0037007;FBtr0078218;3
159;FBgn0037007;FBtr0078219;1
160;FBgn0037085;FBtr0332718;12
161;FBgn0037213;FBtr0078961;1
162;FBgn0037213;FBtr0078962;2
163;FBgn0037261;FBtr0078895;8
164;FBgn0037363;FBtr0334946;2
165;FBgn0037992;FBtr0082550;10
166;FBgn0037992;FBtr0308292;10
167;FBgn0038071;FBtr0082648;2
168;FBgn0038385;FBtr0083201;1
169;FBgn0038475;FBtr0083422;3
170;FBgn0038476;FBtr0305987;9
171;FBgn0038535;FBtr0089416;4
172;FBgn0038803;FBtr0083908;6
173;FBgn0039026;FBtr0084312;2
174;FBgn0039286;FBtr0084803;5
175;FBgn0039286;FBtr0330288;5
176;FBgn0039286;FBtr0330289;1
177;FBgn0039350;FBtr0084889;9
178;FBgn0039350;FBtr0336450;6
179;FBgn0039350;FBtr0445401;6
180;FBgn0040038;FBtr0113686;5
181;FBgn0041160;FBtr0075580;1
182;FBgn0041184;FBtr0081040;4
183;FBgn0041184;FBtr0329928;4
184;FBgn0044028;FBtr0075435;14
185;FBgn0050015;FBtr0113357;2
186;FBgn0050089;FBtr0340007;1
187;FBgn0050115;FBtr0340387;2
188;FBgn0051523;FBtr0078937;7
189;FBgn0051721;FBtr0080096;5
190;FBgn0052227;FBtr0074848;4
191;FBgn0052982;FBtr0301040;1
192;FBgn0053113;FBtr0079042;2
193;FBgn0053113;FBtr0079043;2
194;FBgn0053113;FBtr0079044;1
195;FBgn0053207;FBtr0083162;5
196;FBgn0053526;FBtr0091487;4
197;FBgn0083940;FBtr0110782;8
198;FBgn0085412;FBtr0329899;2
199;FBgn0085424;FBtr0342628;2
200;FBgn0085432;FBtr0100246;3
201;FBgn0085432;FBtr0112657;4
202;FBgn0086690;FBtr0333940;8
203;FBgn0086690;FBtr0333946;2
204;FBgn0259211;FBtr0299706;3
205;FBgn0259211;FBtr0300538;2
206;FBgn0259211;FBtr0345791;4
207;FBgn0259212;FBtr0334910;2
208;FBgn0259740;FBtr0302201;5
209;FBgn0260400;FBtr0070091;2
210;FBgn0260635;FBtr0075501;9
211;FBgn0260635;FBtr0333618;9
212;FBgn0261554;FBtr0302702;5
213;FBgn0261560;FBtr0077524;5
214;FBgn0261563;FBtr0305063;1
215;FBgn0261648;FBtr0089913;2
216;FBgn0261648;FBtr0343619;2
217;FBgn0261822;FBtr0079573;2
218;FBgn0261873;FBtr0089974;2
219;FBgn0261873;FBtr0308217;2
220;FBgn0261930;FBtr0070110;3
221;FBgn0262614;FBtr0305298;1
222;FBgn0262614;FBtr0305303;8
223;FBgn0262614;FBtr0305304;3
224;FBgn0262624;FBtr0072836;5
225;FBgn0262719;FBtr0305700;2
226;FBgn0262719;FBtr0308608;1
227;FBgn0262867;FBtr0307501;6
228;FBgn0262867;FBtr0336524;14
229;FBgn0263102;FBtr0088278;6
230;FBgn0263102;FBtr0088281;4
231;FBgn0263102;FBtr0100607;8
232;FBgn0263144;FBtr0336519;3
233;FBgn0263256;FBtr0308298;1
234;FBgn0263256;FBtr0330321;3
235;FBgn0263256;FBtr0339672;1
236;FBgn0263256;FBtr0344862;4
237;FBgn0264089;FBtr0330730;2
238;FBgn0264270;FBtr0331254;11
239;FBgn0264270;FBtr0331259;8
240;FBgn0264270;FBtr0336729;11
241;FBgn0264598;FBtr0333527;2
242;FBgn0264707;FBtr0333956;1
243;FBgn0264895;FBtr0334847;1
244;FBgn0264895;FBtr0334848;1
245;FBgn0265003;FBtr0335516;20
246;FBgn0265082;FBtr0336809;5
247;FBgn0265274;FBtr0085350;1
248;FBgn0265274;FBtr0330306;1
249;FBgn0265274;FBtr0345207;6
250;FBgn0265276;FBtr0082533;2
251;FBgn0265276;FBtr0110876;1
252;FBgn0265276;FBtr0110877;2
253;FBgn0265276;FBtr0305186;1
254;FBgn0265276;FBtr0307082;2
255;FBgn0265276;FBtr0330170;2
256;FBgn0266101;FBtr0343559;6
257;FBgn0266129;FBtr0072458;8
258;FBgn0266129;FBtr0330231;8
259;FBgn0266418;FBtr0344405;2
260;FBgn0266418;FBtr0344406;4
261;FBgn0266696;FBtr0345085;2
262;FBgn0266696;FBtr0345108;6
263;FBgn0266696;FBtr0345113;5
264;FBgn0266756;FBtr0334286;2
265;FBgn0266756;FBtr0334288;11
266;FBgn0267348;FBtr0076382;5
267;FBgn0267790;FBtr0304684;2
268;FBgn0267791;FBtr0086219;2
269;FBgn0267791;FBtr0086222;4
270;FBgn0268063;FBtr0076793;1
271;FBgn0268063;FBtr0332144;1
272;FBgn0278608;FBtr0089259;5
273;FBgn0283521;FBtr0089344;6
274;FBgn0283521;FBtr0089362;7
275;FBgn0283741;FBtr0302655;4
276;FBgn0283741;FBtr0332901;4
277;FBgn0284084;FBtr0079432;5
278;FBgn0284243;FBtr0086537;6
