FBgn;FBtr
FBgn0000071;FBtr0081619
FBgn0000071;FBtr0081620
FBgn0000117;FBtr0332583
FBgn0000163;FBtr0343764
FBgn0000180;FBtr0079929
FBgn0000180;FBtr0329984
FBgn0000229;FBtr0302378
FBgn0000233;FBtr0071379
FBgn0000395;FBtr0071610
FBgn0000411;FBtr0333034
FBgn0000411;FBtr0333035
FBgn0000439;FBtr0081621
FBgn0000449;FBtr0073205
FBgn0000477;FBtr0083538
FBgn0000489;FBtr0075529
FBgn0000490;FBtr0077773
FBgn0000490;FBtr0077775
FBgn0000542;FBtr0070606
FBgn0000542;FBtr0112802
FBgn0000565;FBtr0075552
FBgn0000591;FBtr0084961
FBgn0000606;FBtr0088390
FBgn0000629;FBtr0334067
FBgn0000658;FBtr0086754
FBgn0000723;FBtr0082051
FBgn0000723;FBtr0082052
FBgn0001077;FBtr0081625
FBgn0001090;FBtr0074656
FBgn0001090;FBtr0074657
FBgn0001090;FBtr0074658
FBgn0001099;FBtr0091757
FBgn0001123;FBtr0072142
FBgn0001123;FBtr0301411
FBgn0001185;FBtr0335138
FBgn0001235;FBtr0100455
FBgn0001235;FBtr0344145
FBgn0001254;FBtr0073141
FBgn0001258;FBtr0077008
FBgn0001316;FBtr0343526
FBgn0001320;FBtr0078283
FBgn0001320;FBtr0344836
FBgn0001323;FBtr0346815
FBgn0001325;FBtr0072449
FBgn0002431;FBtr0339599
FBgn0002525;FBtr0307058
FBgn0002525;FBtr0307059
FBgn0002543;FBtr0077941
FBgn0002543;FBtr0329985
FBgn0002590;FBtr0345132
FBgn0002631;FBtr0084979
FBgn0002633;FBtr0084960
FBgn0002732;FBtr0084956
FBgn0002873;FBtr0308326
FBgn0002873;FBtr0308329
FBgn0002931;FBtr0330637
FBgn0002945;FBtr0075039
FBgn0002985;FBtr0077557
FBgn0003002;FBtr0078836
FBgn0003041;FBtr0076774
FBgn0003041;FBtr0306647
FBgn0003145;FBtr0080299
FBgn0003254;FBtr0086512
FBgn0003254;FBtr0330058
FBgn0003261;FBtr0078654
FBgn0003308;FBtr0082704
FBgn0003312;FBtr0082475
FBgn0003317;FBtr0088833
FBgn0003326;FBtr0087855
FBgn0003326;FBtr0087856
FBgn0003459;FBtr0333041
FBgn0003459;FBtr0333042
FBgn0003463;FBtr0074063
FBgn0003463;FBtr0340346
FBgn0003507;FBtr0083215
FBgn0003507;FBtr0083216
FBgn0003520;FBtr0086784
FBgn0003557;FBtr0334778
FBgn0003716;FBtr0079089
FBgn0003731;FBtr0071653
FBgn0003731;FBtr0071654
FBgn0003866;FBtr0085906
FBgn0003892;FBtr0089427
FBgn0003896;FBtr0342921
FBgn0003900;FBtr0100130
FBgn0004102;FBtr0331305
FBgn0004362;FBtr0345487
FBgn0004364;FBtr0086309
FBgn0004368;FBtr0301796
FBgn0004394;FBtr0080393
FBgn0004456;FBtr0340190
FBgn0004512;FBtr0087801
FBgn0004567;FBtr0077500
FBgn0004587;FBtr0082802
FBgn0004587;FBtr0082806
FBgn0004587;FBtr0300588
FBgn0004595;FBtr0304605
FBgn0004635;FBtr0072694
FBgn0004646;FBtr0071037
FBgn0004795;FBtr0340030
FBgn0004828;FBtr0071346
FBgn0004859;FBtr0089178
FBgn0004861;FBtr0070432
FBgn0004861;FBtr0301515
FBgn0004878;FBtr0078725
FBgn0004885;FBtr0084690
FBgn0004885;FBtr0339252
FBgn0004892;FBtr0077558
FBgn0004956;FBtr0074581
FBgn0004956;FBtr0112847
FBgn0004959;FBtr0074603
FBgn0005278;FBtr0308091
FBgn0005616;FBtr0077571
FBgn0005631;FBtr0071922
FBgn0005631;FBtr0343013
FBgn0005636;FBtr0072267
FBgn0005636;FBtr0330612
FBgn0005672;FBtr0081270
FBgn0005771;FBtr0080643
FBgn0005771;FBtr0342913
FBgn0008636;FBtr0071556
FBgn0010105;FBtr0075579
FBgn0010215;FBtr0339894
FBgn0010228;FBtr0071673
FBgn0010228;FBtr0071674
FBgn0010228;FBtr0342960
FBgn0010280;FBtr0114589
FBgn0010300;FBtr0081160
FBgn0010313;FBtr0308120
FBgn0010382;FBtr0080777
FBgn0010389;FBtr0083549
FBgn0010452;FBtr0075890
FBgn0010452;FBtr0330075
FBgn0010473;FBtr0089268
FBgn0010473;FBtr0301864
FBgn0010473;FBtr0347158
FBgn0010651;FBtr0086635
FBgn0010651;FBtr0345426
FBgn0011640;FBtr0076845
FBgn0011653;FBtr0073260
FBgn0011706;FBtr0075120
FBgn0011723;FBtr0332070
FBgn0011723;FBtr0332071
FBgn0011747;FBtr0300497
FBgn0011766;FBtr0084118
FBgn0012037;FBtr0080552
