gene,target_id,cluster
FBgn0020304,FBtr0078037,2
FBgn0020377,FBtr0088004,1
FBgn0021776,FBtr0083847,3
FBgn0021776,FBtr0083848,1
FBgn0021776,FBtr0335243,2
FBgn0022349,FBtr0085840,3
FBgn0023213,FBtr0289951,3
FBgn0023214,FBtr0086652,5
FBgn0023511,FBtr0070352,3
FBgn0024150,FBtr0305501,8
FBgn0024234,FBtr0072127,5
FBgn0024236,FBtr0345601,1
FBgn0024248,FBtr0333412,3
FBgn0024250,FBtr0071048,3
FBgn0024320,FBtr0343610,6
FBgn0025790,FBtr0089625,3
FBgn0026059,FBtr0303845,1
FBgn0026061,FBtr0075399,5
FBgn0026063,FBtr0301427,2
FBgn0026064,FBtr0301426,2
FBgn0026144,FBtr0071053,1
FBgn0026160,FBtr0076267,2
FBgn0026179,FBtr0111038,8
FBgn0026319,FBtr0077429,1
FBgn0026376,FBtr0075794,2
FBgn0026376,FBtr0075796,3
FBgn0027066,FBtr0300285,3
FBgn0027108,FBtr0332314,4
FBgn0027660,FBtr0075233,1
FBgn0027660,FBtr0075234,5
FBgn0027660,FBtr0339898,1
FBgn0027793,FBtr0070298,2
FBgn0027950,FBtr0082068,2
FBgn0027951,FBtr0290206,3
FBgn0028343,FBtr0301415,3
FBgn0028371,FBtr0301377,1
FBgn0028377,FBtr0091756,12
FBgn0028402,FBtr0304820,2
FBgn0028491,FBtr0070610,1
FBgn0028577,FBtr0300416,3
FBgn0028789,FBtr0076522,2
FBgn0028953,FBtr0086922,6
FBgn0028953,FBtr0345417,6
FBgn0029123,FBtr0079733,1
FBgn0029123,FBtr0330210,1
FBgn0029771,FBtr0070780,3
FBgn0029903,FBtr0070967,4
FBgn0029903,FBtr0112956,4
FBgn0029907,FBtr0299814,2
FBgn0030151,FBtr0089386,1
FBgn0030251,FBtr0343591,1
FBgn0030360,FBtr0339626,2
FBgn0030510,FBtr0340399,5
FBgn0030672,FBtr0074057,2
FBgn0030684,FBtr0074088,3
FBgn0030716,FBtr0074153,1
FBgn0031001,FBtr0074674,2
FBgn0031145,FBtr0113007,3
FBgn0031208,FBtr0475186,3
FBgn0031235,FBtr0078126,3
FBgn0031240,FBtr0078127,3
FBgn0031623,FBtr0077420,3
FBgn0031632,FBtr0077384,2
FBgn0031632,FBtr0336962,1
FBgn0031644,FBtr0077390,13
FBgn0031717,FBtr0307061,5
FBgn0031805,FBtr0079253,8
FBgn0031879,FBtr0290119,1
FBgn0031879,FBtr0302162,3
FBgn0031961,FBtr0343419,1
FBgn0032036,FBtr0079656,7
FBgn0032036,FBtr0079657,7
