,Unnamed: 0,parameter,MAP,hpd_l,hpd_u
0,0,D,0.0091,0.0,0.0287
1,1,S,0.5691,0.3285,0.9351
2,2,variance,127.3513,124.4831,130.281
3,3,lengthscale,16.9127,15.0157,18.9115
4,4,variance_m,11.3143,10.2384,12.4113
5,5,variance_p,27.1738,25.4604,28.9266
