,Unnamed: 0,parameter,MAP,hpd_l,hpd_u
0,0,D,0.0234,0.0,0.0524
1,1,S,0.3635,0.1895,0.6432
2,2,variance,110.8938,108.1771,113.612
3,3,lengthscale,16.067,14.337,17.9985
4,4,variance_m,5.4732,4.7634,6.2805
5,5,variance_p,20.4251,18.9622,21.9362
