,Unnamed: 0,parameter,MAP,hpd_l,hpd_u
0,0,D,0.0077,0.0,0.0233
1,1,S,0.5433,0.2807,0.9212
2,2,variance,157.3469,154.0559,160.6418
3,3,lengthscale,17.5992,15.8969,19.3949
4,4,variance_m,16.1744,15.1683,17.2676
5,5,variance_p,36.6291,35.0331,38.1639
