,Unnamed: 0,parameter,MAP,hpd_l,hpd_u
0,0,D,0.0073,0.0,0.0217
1,1,S,0.9513,0.5895,1.4561
2,2,variance,210.8257,206.8983,214.5411
3,3,lengthscale,18.323,16.3566,20.6173
4,4,variance_m,12.1235,11.2613,13.0547
5,5,variance_p,33.2102,31.7282,34.7383
