,Unnamed: 0,parameter,MAP,hpd_l,hpd_u
0,0,D,0.0975,0.0345,0.1857
1,1,S,0.7193,0.3962,1.2639
2,2,variance,112.6428,108.9516,116.3145
3,3,lengthscale,19.2691,18.4625,20.07
4,4,variance_m,5.3714,3.9996,7.0822
5,5,variance_p,55.6767,52.293,59.1367
