,Unnamed: 0,parameter,MAP,hpd_l,hpd_u
0,0,D,0.0199,0.0,0.047
1,1,S,0.3938,0.1938,0.7044
2,2,variance,255.629,251.4646,259.5464
3,3,lengthscale,14.9072,13.6798,16.2102
4,4,variance_m,9.5566,8.7811,10.3907
5,5,variance_p,52.3656,50.5441,54.2421
