,Unnamed: 0,parameter,MAP,hpd_l,hpd_u
0,0,D,0.0341,0.0051,0.0664
1,1,S,0.6931,0.4296,1.1011
2,2,variance,18.6081,16.5248,21.0184
3,3,lengthscale,17.4676,14.5048,20.512
4,4,variance_m,11.0123,9.1541,13.1424
5,5,variance_p,6.7781,5.3939,8.5172
