,Unnamed: 0,parameter,MAP,hpd_l,hpd_u
0,0,D,0.0217,0.0,0.0446
1,1,S,0.4083,0.2303,0.6898
2,2,variance,17.5389,16.4781,18.6541
3,3,lengthscale,15.5606,13.5482,17.9126
4,4,variance_m,5.7017,4.9294,6.5371
5,5,variance_p,3.0967,2.5412,3.7232
