,Unnamed: 0,parameter,MAP,hpd_l,hpd_u
0,0,D,0.0042,0.0,0.0067
1,1,lengthscale,17.5459,15.9705,19.2848
2,2,variance_m,85.6057,80.8166,90.9227
3,3,variance_p,58.0083,54.0024,62.1265
