,Unnamed: 0,parameter,MAP,hpd_l,hpd_u
0,0,D,0.0133,0.0,0.0446
1,1,S,0.2455,0.1159,0.4791
2,2,variance,17.4885,16.3784,18.5619
3,3,lengthscale,15.7573,13.6881,18.0706
4,4,variance_m,3.3352,2.8846,3.8227
5,5,variance_p,2.9864,2.5613,3.4594
