,Unnamed: 0,parameter,MAP,hpd_l,hpd_u
0,0,D,0.0394,0.0,0.0691
1,1,S,1.7351,1.0384,2.5843
2,2,variance,37.2056,34.5068,40.2395
3,3,lengthscale,32.1986,29.6507,35.1773
4,4,variance_m,11.1598,9.3594,13.4323
5,5,variance_p,24.7075,21.6281,28.1313
