,Unnamed: 0,parameter,MAP,hpd_l,hpd_u
0,0,D,0.0082,0.0,0.0243
1,1,S,0.3494,0.1802,0.617
2,2,variance,75.5462,73.3316,77.7743
3,3,lengthscale,17.2303,15.4306,19.3331
4,4,variance_m,8.8298,7.8884,9.8127
5,5,variance_p,17.4548,16.1085,18.9171
