,Unnamed: 0,parameter,MAP,hpd_l,hpd_u
0,0,D,0.012,0.0,0.0466
1,1,S,0.0741,0.0265,0.1856
2,2,variance,17.562,16.5028,18.6993
3,3,lengthscale,15.1433,13.2276,17.4126
4,4,variance_m,1.2002,0.9369,1.4996
5,5,variance_p,1.8073,1.4802,2.1742
