,parameter,MAP,hpd_l,hpd_u
0,D,2.860606018141122e-06,3.8033274365467183e-06,0.10268551154699966
1,S,28.82759537458835,2.8916791320038517,25.592822860073895
2,variance,52.37835756680159,51.68863142247469,54.40777163928804
3,lengthscale,11.47954383532337,15.209041971385323,18.492198442265682
4,variance_m,200.47537025540882,191.90787916070613,204.18598525275266
5,variance_p,8.131845980567013,6.5839442757072515,9.311346184999513
