,gene_id,tr_id,D,cluster
62,FBgn0004861,FBtr0301515,0.02141989991269309,2
63,FBgn0004956,FBtr0112847,0.03055044627552785,10
64,FBgn0005636,FBtr0072267,0.02502520492266312,9
65,FBgn0005636,FBtr0330612,0.02502520492266312,9
66,FBgn0005672,FBtr0081270,0.035862190686599814,1
67,FBgn0008636,FBtr0071556,0.02099727554353594,6
68,FBgn0010105,FBtr0075579,0.010273972329201016,5
69,FBgn0010215,FBtr0339894,0.02991978827926467,1
70,FBgn0010228,FBtr0071673,0.008046614056781445,5
71,FBgn0010228,FBtr0071674,0.01006086071402527,5
72,FBgn0010228,FBtr0342960,0.018878608764353603,1
73,FBgn0010280,FBtr0114589,0.07726318234130257,20
74,FBgn0010300,FBtr0081160,0.06081754939705096,1
75,FBgn0010382,FBtr0080777,0.020993102379156414,4
76,FBgn0010452,FBtr0075890,0.007104652000074203,5
77,FBgn0010452,FBtr0330075,0.007104652000074203,5
78,FBgn0010473,FBtr0089268,0.09301402647028537,14
79,FBgn0010473,FBtr0301864,0.030558249984928638,4
80,FBgn0010651,FBtr0086635,0.009234558892482841,5
81,FBgn0010651,FBtr0345426,0.01140490475302482,5
82,FBgn0011723,FBtr0332070,0.017302870567043174,4
83,FBgn0011723,FBtr0332071,0.017849453633303647,4
84,FBgn0011766,FBtr0084118,0.017026496814249722,1
85,FBgn0013272,FBtr0071813,0.0040483779199392035,5
86,FBgn0013272,FBtr0071815,0.01148558156882198,1
87,FBgn0013272,FBtr0071816,0.0322158806389915,2
88,FBgn0013272,FBtr0342985,0.03544205579281815,3
89,FBgn0013272,FBtr0342986,0.028556010607374425,2
90,FBgn0013725,FBtr0087516,0.026515499204917657,10
91,FBgn0013733,FBtr0087618,0.0919008809062285,3
92,FBgn0013765,FBtr0087704,0.012588589931928679,2
93,FBgn0013765,FBtr0309888,0.2432329358996695,13
94,FBgn0013765,FBtr0309890,0.1329624891718204,13
95,FBgn0013765,FBtr0309892,0.011757240478428766,3
96,FBgn0014163,FBtr0075413,0.06716414398009092,6
97,FBgn0014163,FBtr0331176,0.09225151615849908,7
98,FBgn0015371,FBtr0305217,0.11566186857592466,6
99,FBgn0015773,FBtr0073942,0.011561598085354235,1
100,FBgn0015773,FBtr0308337,0.007952244762880907,1
101,FBgn0015903,FBtr0072070,0.01782290052796989,5
102,FBgn0016059,FBtr0086891,0.01584338731066421,3
103,FBgn0016977,FBtr0306341,0.02179787509935059,2
104,FBgn0016977,FBtr0330652,0.04593548416535061,3
105,FBgn0019650,FBtr0089185,0.02550561532393796,5
106,FBgn0019968,FBtr0087357,0.007641020713749601,1
107,FBgn0020304,FBtr0078037,0.08556521434915466,2
108,FBgn0023214,FBtr0086652,0.017768907342762753,5
109,FBgn0024236,FBtr0345601,0.01623081929728137,1
110,FBgn0026059,FBtr0303845,0.008228148240468977,1
111,FBgn0026061,FBtr0075399,0.009349475154340444,5
112,FBgn0026160,FBtr0076267,0.020953194765842342,2
113,FBgn0026179,FBtr0111038,0.032213255182599716,8
114,FBgn0026319,FBtr0077429,0.012174152569894086,1
115,FBgn0026376,FBtr0075794,0.01074908907152536,2
116,FBgn0026376,FBtr0075796,0.025872848547442567,3
117,FBgn0027660,FBtr0075233,0.011901207049419896,1
118,FBgn0027660,FBtr0075234,0.03230510683215114,5
119,FBgn0027660,FBtr0339898,0.0363153002451611,1
120,FBgn0028371,FBtr0301377,0.012578673774791773,1
121,FBgn0028491,FBtr0070610,0.022068921371648037,1
122,FBgn0028789,FBtr0076522,0.011029244130894535,2
123,FBgn0028953,FBtr0086922,0.05453250060727311,6
124,FBgn0028953,FBtr0345417,0.02669241185970401,6
125,FBgn0030360,FBtr0339626,0.007468069434337909,2
126,FBgn0031001,FBtr0074674,0.0181981602777149,2
127,FBgn0031632,FBtr0077384,0.011399051221269305,2
128,FBgn0031632,FBtr0336962,0.01444431957119649,1
129,FBgn0031879,FBtr0290119,0.00622887963849634,1
130,FBgn0031879,FBtr0302162,0.0248080567894397,3
131,FBgn0032629,FBtr0080971,0.03714329852880091,1
132,FBgn0032681,FBtr0081085,0.014696484848699131,2
133,FBgn0032682,FBtr0300674,0.006220360959984829,1
134,FBgn0032955,FBtr0085923,0.00589587544579389,1
135,FBgn0033483,FBtr0088406,0.03262786506844363,4
136,FBgn0033649,FBtr0113070,0.021463489988314675,2
137,FBgn0033652,FBtr0088030,0.013942606840965634,5
138,FBgn0033987,FBtr0087409,0.0211879192597078,2
139,FBgn0033987,FBtr0087411,0.10386828097409076,2
140,FBgn0034013,FBtr0087382,0.008569177545840505,2
141,FBgn0034158,FBtr0087031,0.02577431776494816,4
142,FBgn0034504,FBtr0345355,0.02862967884523567,4
143,FBgn0034602,FBtr0071583,0.02878563797905247,2
144,FBgn0034606,FBtr0071622,0.009939076014113094,1
145,FBgn0034644,FBtr0071662,0.014845892241025624,3
146,FBgn0035157,FBtr0072606,0.011410516269237907,1
147,FBgn0035236,FBtr0072746,0.024623646315276148,7
148,FBgn0035397,FBtr0072993,0.054470840145169605,4
149,FBgn0035397,FBtr0072998,0.1640330445588006,17
150,FBgn0035432,FBtr0073058,0.008368278054316251,1
151,FBgn0035625,FBtr0331806,0.03256592561896236,1
152,FBgn0035656,FBtr0077070,0.030427235771841362,5
153,FBgn0035656,FBtr0332041,0.014764399171836525,5
