genesID,trID,corr,p_val
FBgn0000071,FBtr0081619,0.6198876927492429,0.0002587552157921925
FBgn0000071,FBtr0081620,0.6267090554157306,0.00021098366913329156
FBgn0000117,FBtr0332583,0.8766511393378118,2.1411928568535166e-10
FBgn0000163,FBtr0343764,0.9221366262178194,4.558472662401321e-13
FBgn0000180,FBtr0079929,0.5980095990577845,0.00048284665721300856
FBgn0000180,FBtr0329984,0.5980095990577845,0.00048284665721300856
FBgn0000229,FBtr0302378,0.789877954893814,2.1023375712564182e-07
FBgn0000233,FBtr0071379,0.003405638388069618,0.9857498650772611
FBgn0000395,FBtr0071610,0.864169132103346,7.618552529043089e-10
FBgn0000411,FBtr0333034,,
FBgn0000411,FBtr0333035,,
FBgn0000439,FBtr0081621,0.9033875845292401,8.303200210600724e-12
FBgn0000449,FBtr0073205,0.033429801079165405,0.8607881311096593
FBgn0000477,FBtr0083538,0.6119874351887997,0.0003258476154432651
FBgn0000489,FBtr0075529,0.7563940399217427,1.3298837309291969e-06
FBgn0000490,FBtr0077773,0.21529610737336297,0.2532130003531402
FBgn0000490,FBtr0077775,0.6650468053633984,6.090333222327644e-05
FBgn0000542,FBtr0070606,0.7149399041905504,9.033713733575288e-06
FBgn0000542,FBtr0112802,0.7996829902330708,1.1495503808448083e-07
FBgn0000565,FBtr0075552,0.6786659040594444,3.750504762546415e-05
FBgn0000591,FBtr0084961,,
FBgn0000606,FBtr0088390,,
FBgn0000629,FBtr0334067,0.8965694174360399,2.065759712848869e-11
FBgn0000658,FBtr0086754,,
FBgn0000723,FBtr0082051,0.5781267389818552,0.0008197169679955594
FBgn0000723,FBtr0082052,0.8668725014947356,5.850754523177807e-10
FBgn0001077,FBtr0081625,-0.12381041645744861,0.5145058264943893
FBgn0001090,FBtr0074656,0.160933532492447,0.3955630529460074
FBgn0001090,FBtr0074657,-0.020596280433936742,0.9139733086551315
FBgn0001090,FBtr0074658,0.8255715199524074,1.965269775424707e-08
FBgn0001099,FBtr0091757,,
FBgn0001123,FBtr0072142,0.7348437471923777,3.7614331916750293e-06
FBgn0001123,FBtr0301411,0.7815219247227345,3.4317890325235184e-07
FBgn0001185,FBtr0335138,,
FBgn0001235,FBtr0100455,0.9631889792906493,1.6398771285678146e-17
FBgn0001235,FBtr0344145,0.9042858726504787,7.326898648060268e-12
FBgn0001254,FBtr0073141,,
FBgn0001258,FBtr0077008,0.6561451527576236,8.25318808497619e-05
FBgn0001316,FBtr0343526,0.8550177642108203,1.7889868005884146e-09
FBgn0001320,FBtr0078283,0.7789145179588511,3.9815730590807054e-07
FBgn0001320,FBtr0344836,0.8815505342438047,1.252735892006688e-10
FBgn0001323,FBtr0346815,0.8340356206921257,1.0353412988717602e-08
FBgn0001325,FBtr0072449,0.6249610808125625,0.00022241313475773392
FBgn0002431,FBtr0339599,0.7094791204334072,1.1344742103108924e-05
FBgn0002525,FBtr0307058,0.6745501022476873,4.353717167318368e-05
FBgn0002525,FBtr0307059,0.7391299529724333,3.083326661352309e-06
FBgn0002543,FBtr0077941,0.8109941932976111,5.491680112648491e-08
FBgn0002543,FBtr0329985,0.8109941932976111,5.491680112648491e-08
FBgn0002590,FBtr0345132,0.7928072004662376,1.7613145243043255e-07
FBgn0002631,FBtr0084979,,
FBgn0002633,FBtr0084960,,
FBgn0002732,FBtr0084956,,
FBgn0002873,FBtr0308326,0.9168886544884062,1.0991680178313452e-12
FBgn0002873,FBtr0308329,0.4968880466597311,0.005217764862673021
FBgn0002931,FBtr0330637,0.9394994697499899,1.4858206795414002e-14
FBgn0002945,FBtr0075039,0.8059905327762348,7.659240077298813e-08
FBgn0002985,FBtr0077557,0.720837773313906,7.0220091639275605e-06
FBgn0003002,FBtr0078836,0.8925014657494493,3.454546181302097e-11
FBgn0003041,FBtr0076774,0.8585003860012673,1.3018604259972405e-09
FBgn0003041,FBtr0306647,0.8584966790077438,1.302306765436146e-09
FBgn0003145,FBtr0080298,,
FBgn0003145,FBtr0080299,,
FBgn0003254,FBtr0086512,0.6878209984503559,2.6687557564231703e-05
FBgn0003254,FBtr0330058,0.6878209984503559,2.6687557564231703e-05
FBgn0003261,FBtr0078654,0.9382459398585963,1.9645406408213548e-14
FBgn0003308,FBtr0082704,0.8047167220921426,8.323522835134138e-08
FBgn0003312,FBtr0082475,0.29463707152901103,0.11398394092550106
FBgn0003317,FBtr0088833,0.30820524039057406,0.0975201639375412
FBgn0003326,FBtr0087855,0.6987995068054353,1.7458375759244366e-05
FBgn0003326,FBtr0087856,0.7606485308099997,1.0695886551104888e-06
FBgn0003459,FBtr0333041,0.7448760038945672,2.347764692787273e-06
FBgn0003459,FBtr0333042,0.7193413474307121,7.489920841237506e-06
FBgn0003463,FBtr0074063,0.5860287881115053,0.0006669298405029772
FBgn0003463,FBtr0340346,0.42919258618687717,0.01794533736815901
FBgn0003507,FBtr0083215,,
FBgn0003507,FBtr0083216,,
FBgn0003520,FBtr0086784,0.7070170564939509,1.2550928948241016e-05
FBgn0003557,FBtr0334778,0.7187418861816651,7.685121394505617e-06
FBgn0003716,FBtr0079089,0.8980087669835705,1.713347982308053e-11
FBgn0003731,FBtr0071653,0.7056226212878348,1.3284155279600898e-05
FBgn0003731,FBtr0071654,0.6407567008753955,0.00013645692053839987
FBgn0003866,FBtr0085906,0.942994631307631,6.60103314014472e-15
FBgn0003892,FBtr0089427,0.7890154978560655,2.2136300247020318e-07
FBgn0003896,FBtr0342921,0.9048676832378928,6.752251838198625e-12
FBgn0003900,FBtr0100130,0.6126318800224997,0.0003198501618194498
FBgn0004102,FBtr0331305,0.8379463893659014,7.606738477982423e-09
FBgn0004362,FBtr0345487,0.8798898822999095,1.5062363420354688e-10
FBgn0004364,FBtr0086309,,
FBgn0004368,FBtr0301796,0.872445530172363,3.332551906907791e-10
FBgn0004394,FBtr0080393,0.8539685536781283,1.9656068706357244e-09
FBgn0004456,FBtr0340190,0.6849490893487905,2.973235265640806e-05
FBgn0004512,FBtr0087801,0.4244256924557058,0.01940610575627749
FBgn0004567,FBtr0077500,,
FBgn0004587,FBtr0082802,,
FBgn0004587,FBtr0082806,,
FBgn0004587,FBtr0300588,,
FBgn0004595,FBtr0304605,0.7395783856160967,3.0191983528939588e-06
FBgn0004635,FBtr0072694,0.8772066172864709,2.0172531814833464e-10
FBgn0004646,FBtr0071037,0.8657161132450644,6.554824402620174e-10
FBgn0004795,FBtr0340030,0.45944331355803747,0.010644722814254062
FBgn0004828,FBtr0071346,0.8895485243799465,4.9543340276823954e-11
FBgn0004859,FBtr0089178,0.8403817333454963,6.25224059961557e-09
FBgn0004861,FBtr0070432,0.7795669097647729,3.836973446559203e-07
FBgn0004861,FBtr0301515,0.7396681966093195,3.0065008735591633e-06
FBgn0004878,FBtr0078725,0.15561415884276214,0.4115683768449796
FBgn0004885,FBtr0084690,0.27927980774323224,0.13501820384654364
FBgn0004885,FBtr0339252,0.18079124184096956,0.339038080753543
FBgn0004892,FBtr0077558,0.2236334820155608,0.23484838329865204
FBgn0004956,FBtr0074581,0.9051495220386095,6.489091092463673e-12
FBgn0004956,FBtr0112847,0.5823950420148792,0.0007337663541157807
FBgn0004959,FBtr0074603,0.3003681493444103,0.1067945922608738
FBgn0005278,FBtr0308091,0.9369064661479077,2.630890812894092e-14
FBgn0005616,FBtr0077571,,
FBgn0005631,FBtr0071922,0.7354176294593525,3.6634381516380423e-06
FBgn0005631,FBtr0343013,0.7891068771260298,2.201589308000848e-07
FBgn0005636,FBtr0072267,0.6426402944986449,0.00012850044542871963
FBgn0005636,FBtr0330612,0.6426402944986449,0.00012850044542871963
FBgn0005672,FBtr0081270,0.8718854524848992,3.5306304421616276e-10
FBgn0005771,FBtr0080643,,
FBgn0005771,FBtr0342913,,
FBgn0008636,FBtr0071556,0.6960326478188833,1.9462966555666258e-05
FBgn0010105,FBtr0075579,0.9130057352953439,2.032639375446948e-12
FBgn0010215,FBtr0339894,0.976233036975322,3.886742893350916e-20
FBgn0010228,FBtr0071673,0.8374251808416655,7.929468296173753e-09
FBgn0010228,FBtr0071674,0.8346937928366163,9.835425400838647e-09
FBgn0010228,FBtr0342960,0.9385791322542529,1.8250274512465535e-14
FBgn0010280,FBtr0114589,0.9229175830481434,3.977947725772381e-13
FBgn0010300,FBtr0081160,0.757230322782662,1.274587892995438e-06
FBgn0010313,FBtr0308120,,
FBgn0010382,FBtr0080777,0.8791304424324959,1.637205475030484e-10
FBgn0010389,FBtr0083549,0.8813471944983954,1.2815130261243262e-10
FBgn0010452,FBtr0075890,0.7391954028378263,3.07389082565393e-06
FBgn0010452,FBtr0330075,0.7391954028378263,3.07389082565393e-06
FBgn0010473,FBtr0089268,0.9106353230765312,2.917539257884706e-12
FBgn0010473,FBtr0301864,0.4026493327559452,0.027382522640609787
FBgn0010473,FBtr0347158,0.0889900774603754,0.640044036712894
