Unnamed: 0,D,S,variance,lengthscale,variance_m,variancve_p,D_95_l,S_95_l,variance_95_l,lengthscale_95_l,variance_m_95_l,variancve_p_95_l,D_95_u,S_95_u,variance_95_u,lengthscale_95_u,variance_m_95_u,variancve_p_95_u,gene_id,tr_id
0,0.0009641726673807806,11.050006564450662,0.09940122726047793,82.4638263433125,1214.7153576081253,0.029821993300985176,2.456695898442319e-05,2.4156005524791877,0.027678082880161558,,7.808231597405191e-06,0.017574221239835097,0.03784061890255143,50.547531523407656,0.35698296098286364,,188971520836.9819,0.05060544489039046,FBgn0000071,FBtr0081619
1,0.0022686397577006807,2.3030740098239173,0.0886780250360233,83.05527717721363,29.91127512329657,0.02963282057548498,,1.3340452762274242,0.029089431905237276,,1.8091612789646707,0.017256572481780717,,3.9759894129876447,0.27033158123908824,,494.52991831305474,0.05088519497055268,FBgn0000071,FBtr0081620
2,0.09987777815798674,0.2586677679687122,17.71586350378349,24.67711665961409,10.195033713448137,0.6710734017707272,0.03739792734581498,0.10237919942745564,0.092850478029529,,1.6801601755581808,0.36323067250223706,0.2667412682401591,0.6535410958485397,3380.185286551506,,61.862383081311684,1.23981685649458,FBgn0000117,FBtr0332583
3,0.10835465759229676,0.30216873048882564,1.9415412208495133,30.582725135479105,0.7547145406881894,0.12628175203085384,0.0512604973644596,0.06339409685024193,0.3814324990822431,,0.4207933070310245,0.0740254735654776,0.2290405365844941,1.4402909138515494,9.882698305277431,,1.3536195286589705,0.21542693518706665,FBgn0000163,FBtr0343764
4,0.007403276721684786,0.11662805355614735,126.5905243557227,34.364903351650646,113.05470970957458,1.731023205691935,,0.10602109003823414,7.68664025584635e-05,0.0006320313526726189,0.3791446039682125,0.7794937282795801,,0.12829619909954035,208480692.7769036,1868493.671041031,33711.062359172516,3.844086526850482,FBgn0000180,FBtr0079929
5,0.007403860897906209,0.11663048652388275,126.58952936586414,34.364806728412965,113.05447636510107,1.7310122827583032,,0.10602327393022026,7.687438253742758e-05,0.0006319446327737753,0.3790875982452629,0.7794811907178218,,0.12829890912206945,208455774.42223987,1868739.5702653788,33715.992518219784,3.84409984325694,FBgn0000180,FBtr0329984
6,0.02462950102814319,0.325200181606479,2.409800497716481,27.47415511530973,18.464422194227073,0.07771007357689542,,0.26780456268178143,0.4694048759545157,0.0002572481718911472,1.3702216985880695,0.044087599659541024,,0.3948967749386347,12.371278476786209,2934245.144488338,248.8173171669796,0.13697401496022768,FBgn0000395,FBtr0071610
7,0.03130012610011992,0.4303838878924578,0.487994615789654,38.92328886443825,2.476539575516541,0.02694736023302857,,0.3564369695907616,0.17015283057949634,8.170963159838478e-09,1.0682938374599404,0.015931423579010822,,0.5196719385480619,1.3995579399334896,185415401634.78732,5.741162266443979,0.04558037264700588,FBgn0000439,FBtr0081621
8,0.04935743468184231,0.6948164930141885,1.0823818176184872,28.052769588352426,35.14485909466395,0.17930767692893387,0.02743200969574815,,0.298518200836496,,0.9106092075039122,0.1049235985297684,0.08880706828963847,,3.9245526598653866,,1356.4118511051588,0.3064252795001987,FBgn0000489,FBtr0075529
9,0.04706575241529674,2.6338878114774342,0.07781104361887027,12.069015350172837,3.2603125231774164,0.0013057619784035525,0.04183028612320696,,0.03647898096853314,,1.2603649099597187,0.0007400106615065259,0.052956488126650714,,0.16597389368635085,,8.433777920020967,0.002304040242843613,FBgn0000490,FBtr0077775
10,0.03507837810065982,0.3261762085072232,3.120044489779418,38.99135739564269,7.003968893214267,0.1621964805635366,,0.2487831766935068,0.289524824209174,0.21601181990910426,2.494774881041148,0.06268641600632538,,0.4276451503279012,33.62294630449327,7038.160931167929,19.66332939693568,0.4196714373420733,FBgn0000542,FBtr0070606
11,0.03798879452122041,0.8994117027631776,3.1117585292133314,38.396966762786995,41.58080035315845,0.12318846354792615,0.029630149845362774,,0.26637270185942674,0.03659398412264954,1.1218579617755846,0.07105976221093031,0.04870540705015584,,36.35147699647527,40288.78221188401,1541.1603045297836,0.21355823716736935,FBgn0000542,FBtr0112802
12,0.009078920391603826,0.264006937368243,7.565153585963457,26.530424159441967,91.4902906649852,0.40458222086725415,,0.21918774583700384,0.3389346487668077,0.056724951636788076,0.3226043062827142,0.221904899718676,,0.31799069200880714,168.85717936318736,12408.356213095869,25946.56401960121,0.7376437998863322,FBgn0000723,FBtr0082051
13,0.08595772432062987,0.2050557947811322,7.65529222735585,26.696496065103336,2.689828317084173,0.3930189430653114,,0.1327617314424612,0.2244257344545416,0.008415029141256277,1.137122608749492,0.22270413238025694,,0.31671686197874965,261.12646675145567,84694.0503937077,6.36270558664249,0.6935834012475107,FBgn0000723,FBtr0082052
